label,:label_DE:,:Definition_DE:,:Definition:,:Unit:,:Default:,:Type:,:Category:,:Restrictions:,internal_categorization,tooltip,Source/related requirements,Ease of oemof implementation,ref,Rational
Optimization goal,Zielfunktion der Optimierung,"Festlegung der Zielfunktion für die Optimierungen z.B. CO2-Emissionen, Kosten, Maximierung des EE-Anteils)","The quantities which govern the optimization (CO2, costs, renewable maximization in energy mix, degree of autonomy, multi-objectives)",,None,str,Simulation,,scenario,,"OP_IN_04, OP_IN_10","optimization goal can be costs or CO2 emissions; maximization in renewable energy or autonomy seems more to be a constraint; multi-objectives are not possible due to linear programming, but users could input weights",,
Maximum investment budget,max. Investitionskosten,Maximales Investitionsbudget,Upper bound on the investment budget,EUR,None,float,Financial,,constraint,,OP_IN_07,component/constraint exists,,
Current price of CO2 emission certificates,aktueller Preis CO2-Emissionszertifikate,Aktueller Preis von CO2-Emissionszertifikaten,Current price of CO2 emission certificates,EUR,,float,Financial,,data,,"OP_IN_07, OP_IN_15",data issue?,,
Future price estimates for CO2 emission certificates,zukünftige Preisprognose CO2-Emissionszertifikate,Zeitreihe von zukünftigen Preisprognosen von CO2-Emissionszertifikaten,Timeseries of future price  for CO2 emission certificates (values from the EU-ETS and DE-ETS),EUR,,array,Financial,,data,,OP_IN_07,data issue?,,The user can load its own timeseries to check their own prediction of CO2 prices
Interest rate,Zinsrate,Annahme der Zinsrate während der Projektlaufzeit,A guess of what the  interest rate will be in during the project lifetime. Could be provided as constant or timeseries.,EUR,Value provided,float,Financial,,project,,,function exists,,Estimate the project costs
Costs of replacement,Wiederbeschaffungskosten,Wiederbeschaffungskosten/ Kosten für die Verbesserung der aktuellen Systemkomponenten/Technologien,Costs of replacement/improvement of the current system components/assets,EUR,Value provided for each accepted asset type,float,Financial,,component,,,"not sure, if this exists already, but I think if not it's easy to implement; the mobility team has this in their tools as far as I remember",,
Grid stability fee,Netzentgelt,"Entgelt, als Beitrag zur Netzstabilität",Fee/payment for contribution to grid stability,EUR,Value provided,float,Financial,,scenario,,,fix cost?,,
Spatial resolution,räumliche Auflösung,"Gewünschte räumliche Auflösung (z.B. Gebäude, Quartiere)",Define the wished spatial resolution (it is wished that it can range from building up to districts),,,,GIS,,hidden,,,spatial resolution is flexible, it's always a matter of data ,
New power plant available space,verfügbare Potentialfläche,Verfügbare Flächen für den Zubau von Erzeugereinheiten,Available space for new power plants (for PV installation for example),,,float,GIS,,component,,,upper bounds exist,,"Space on the rooftop is only for solar, fields can be solar and wind, inside existing building diesel/gas/heat exchanger can be installed but no solar or wind"
Consumer requirements,Anforderungen der Energieverbraucher ,Anforderungen der Energieverbraucher (z.B.. gewünschter Lokalisierung),consumer requirements such as a specific localisation and wished minimal load profile (e.g. in an industry park),,,,GIS/Technical,,constraint,,OP_IN_27,?,,
Existing grid structure (v2.0 of the tool),existierende Netzstruktur,GPS Koordinaten der existierenden Netzinfrastruktur,GPS coordinates of current grid structure (lines and hubs),,,,GIS/Technical,,hidden,,,"in the Ego-Tools I guess, but this is a topic I am not familiar with",,
Future grid structure (v2.0 of the tool),zukünftige Netzstruktur,GPS Koordinaten der zukünftigen Netzinfrastruktur,GPS coordinates of future grid structure (lines and hubs),,,,GIS/Technical,,hidden,,,"in the Ego-Tools I guess, but this is a topic I am not familiar with",,
Security of supply,Versorgungssicherheit,"Welche Technologien existieren, um die Versorgungssicherheit zu gewährleisten (z.B.  Notstromaggregat)", e.g. existence of back-up system,,,,Technical,,hidden,,,there are many components and constraints for a flexible backup system,,
Balancing ratio for anciliary services,?,?,Balancing ratio for ancilliary services (need a more precise definition as PF could not re-figure out what this means),,,array,Technical,,hidden,,,?,,
Number of future extra users,?,?,Number of future extra user in energy cell,,,int,Technical,,hidden,,,?,,
Load types,Lasttypen,"Festlegung der Last, als flexible oder nicht flexible Last innerhalb der Lastprofile",Designation of flexible and non-flexible loads in the load profile,,,bool,Technical,,data,,OP_IN_21,dsm functionalities exist,,
Costs of asset use,Betriebskosten der Erzeugereinheit,z.B. Kosten eines Liters Diesel oder 1 kWh Strom aus dem Netz,The price of a liter of diesel or a kWh from the grid,EUR,Value provided,float,Financial,,component,,OP_IN_07,,,To be able to compute the cost associated with the use of an asset
Project lifetime,Projektlaufzeit,Die Projektlaufzeit (der Investitionsrechnung),The lifetime of the project (simulation time),Time,,float,Simulation,,project,,,,,
